country,gdp_per_capita,family,freedom,generosity,health,trust_corruption,happiness_score,happiness_rank
Canada,1.32629,1.32261,0.63,0.45811,0.91,0.32957,7.43,5
"Central African Republic",0.0785,0,0.49,0.23835,0.07,0.08289,3.68,148
Chad,0.34193,0.76062,0.24,0.18386,0.15,0.05269,3.67,149
Chile,1.10715,1.12447,0.44,0.33363,0.86,0.12869,6.67,27
China,0.89012,0.94675,0.52,0.08185,0.82,0.02781,5.14,84
Colombia,0.91861,1.24018,0.53,0.18401,0.69,0.0512,6.48,33
Comoros,0.23906,0.79273,0.23,0.17441,0.36,0.199,3.96,140
"Congo (Brazzaville)",0.67866,0.6629,0.41,0.12388,0.31,0.11686,3.99,139
"Congo (Kinshasa)",0,1.0012,0.23,0.24834,0.1,0.07625,4.52,120
"Costa Rica",0.95578,1.23788,0.63,0.25497,0.86,0.10583,7.23,12
Croatia,1.08254,0.79624,0.26,0.05444,0.79,0.0243,5.76,62
Cyprus,1.20813,0.89318,0.41,0.30638,0.92,0.06146,5.69,67
"Czech Republic",1.17898,1.20643,0.46,0.10686,0.84,0.02652,6.51,31
Denmark,1.32548,1.36058,0.65,0.34139,0.87,0.48357,7.53,3
Djibouti,0.44025,0.59207,0.46,0.18093,0.36,0.28105,4.37,126
"Dominican Republic",0.89537,1.17202,0.58,0.21684,0.67,0.14234,4.89,98
Ecuador,0.86402,0.99903,0.49,0.11541,0.79,0.1809,5.98,48
Egypt,0.8818,0.747,0.17,0.11291,0.62,0.06324,4.19,135
"El Salvador",0.76454,1.02507,0.4,0.10692,0.68,0.11776,6.13,42
Estonia,1.15174,1.22791,0.45,0.0868,0.77,0.15184,5.43,73
Ethiopia,0.19073,0.60406,0.43,0.24325,0.44,0.15048,4.51,122
Finland,1.29025,1.31826,0.64,0.23351,0.89,0.41372,7.41,6
France,1.27778,1.26038,0.55,0.12332,0.95,0.20646,6.58,29
Gabon,1.06024,0.90528,0.32,0.06822,0.43,0.11091,3.9,143
